Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2016,June,1 North West Metro, Moonee Valley,"9,285","7,556.7"
2016,June,1 North West Metro, Moreland,"14,740","8,555.1"
2016,June,1 North West Metro, Nillumbik,"3,463","5,396.3"
2016,June,1 North West Metro, Whittlesea,"15,500","7,485.8"
2016,June,1 North West Metro, Wyndham,"15,712","6,921.3"
2016,June,1 North West Metro, Yarra,"13,836","14,894.4"
2016,June,1 North West Metro,Total,"205,988","10,058.0"
2016,June,2 Eastern, Alpine,425,"3,378.9"
2016,June,2 Eastern, Bass Coast,"3,032","9,060.5"
2016,June,2 Eastern, Baw Baw,"4,135","8,388.1"
2016,June,2 Eastern, Benalla,"1,519","10,864.0"
2016,June,2 Eastern, Boroondara,"8,064","4,548.8"
2016,June,2 Eastern, East Gippsland,"4,305","9,440.8"
2016,June,2 Eastern, Greater Shepparton,"8,044","12,361.7"
2016,June,2 Eastern, Indigo,464,"2,870.4"
2016,June,2 Eastern, Knox,"10,668","6,652.8"
2016,June,2 Eastern, Latrobe,"14,090","18,881.8"
2016,June,2 Eastern, Manningham,"4,492","3,664.8"
2016,June,2 Eastern, Mansfield,563,"6,490.7"
2016,June,2 Eastern, Maroondah,"8,566","7,461.7"
2016,June,2 Eastern, Mitchell,"4,383","10,486.9"
